sample_id,dataset,video_path,label,frame_count,width,height,codec,file_size_mb,manipulation,generator,subject_id,source_id,original_video_id,split_group_id,audio_path,split
FFPP_0000000,FaceForensics++,DeepFakeDetection/01_02__meeting_serious__YVGY8LOK.mp4,1,1044,1920,1080,h264,6.43,DeepFakeDetection,DeepFakeDetection,,DFD_YVGY8LOK,,DFD_YVGY8LOK,,
FFPP_0000001,FaceForensics++,DeepFakeDetection/01_02__outside_talking_still_laughing__YVGY8LOK.mp4,1,727,1920,1080,h264,5.05,DeepFakeDetection,DeepFakeDetection,,DFD_YVGY8LOK,,DFD_YVGY8LOK,,
FFPP_0000002,FaceForensics++,DeepFakeDetection/01_02__talking_against_wall__YVGY8LOK.mp4,1,841,1920,1080,h264,3.31,DeepFakeDetection,DeepFakeDetection,,DFD_YVGY8LOK,,DFD_YVGY8LOK,,
FFPP_0000003,FaceForensics++,DeepFakeDetection/01_02__walk_down_hall_angry__YVGY8LOK.mp4,1,217,1920,1080,h264,1.11,DeepFakeDetection,DeepFakeDetection,,DFD_YVGY8LOK,,DFD_YVGY8LOK,,
FFPP_0000004,FaceForensics++,DeepFakeDetection/01_02__walking_down_indoor_hall_disgust__YVGY8LOK.mp4,1,773,1920,1080,h264,12.05,DeepFakeDetection,DeepFakeDetection,,DFD_YVGY8LOK,,DFD_YVGY8LOK,,
FFPP_0000005,FaceForensics++,DeepFakeDetection/01_03__hugging_happy__ISF9SP4G.mp4,1,605,1920,1080,h264,8.7,DeepFakeDetection,DeepFakeDetection,,DFD_ISF9SP4G,,DFD_ISF9SP4G,,
FFPP_0000006,FaceForensics++,DeepFakeDetection/01_03__kitchen_pan__JZUXXFRB.mp4,1,455,1920,1080,h264,3.32,DeepFakeDetection,DeepFakeDetection,,DFD_JZUXXFRB,,DFD_JZUXXFRB,,
FFPP_0000007,FaceForensics++,DeepFakeDetection/01_03__podium_speech_happy__480LQD1C.mp4,1,898,1920,1080,h264,4.82,DeepFakeDetection,DeepFakeDetection,,DFD_480LQD1C,,DFD_480LQD1C,,
FFPP_0000008,FaceForensics++,DeepFakeDetection/01_03__talking_against_wall__JZUXXFRB.mp4,1,843,1920,1080,h264,3.33,DeepFakeDetection,DeepFakeDetection,,DFD_JZUXXFRB,,DFD_JZUXXFRB,,
FFPP_0000009,FaceForensics++,DeepFakeDetection/01_04__hugging_happy__GBC7ZGDP.mp4,1,538,1920,1080,h264,7.86,DeepFakeDetection,DeepFakeDetection,,DFD_GBC7ZGDP,,DFD_GBC7ZGDP,,
