sample_id,dataset,video_path,label,frame_count,width,height,codec,file_size_mb,manipulation,generator,subject_id,source_id,original_video_id,split_group_id,audio_path,split
CELEBDF_0000000,Celeb-DF v2,Celeb-real/id0_0000.mp4,0,469,942,500,FMP4,2.24,Original,None,id0,id0,,CELEB_COMPONENT_000,,train
CELEBDF_0000001,Celeb-DF v2,Celeb-real/id0_0001.mp4,0,303,942,500,FMP4,1.54,Original,None,id0,id0,,CELEB_COMPONENT_000,,train
CELEBDF_0000002,Celeb-DF v2,Celeb-real/id0_0002.mp4,0,350,942,500,FMP4,1.6,Original,None,id0,id0,,CELEB_COMPONENT_000,,train
CELEBDF_0000003,Celeb-DF v2,Celeb-real/id0_0003.mp4,0,529,942,500,FMP4,2.14,Original,None,id0,id0,,CELEB_COMPONENT_000,,train
CELEBDF_0000004,Celeb-DF v2,Celeb-real/id0_0004.mp4,0,326,942,500,FMP4,2.18,Original,None,id0,id0,,CELEB_COMPONENT_000,,train
CELEBDF_0000005,Celeb-DF v2,Celeb-real/id0_0005.mp4,0,459,942,500,FMP4,2.13,Original,None,id0,id0,,CELEB_COMPONENT_000,,train
CELEBDF_0000006,Celeb-DF v2,Celeb-real/id0_0006.mp4,0,534,942,500,FMP4,3.47,Original,None,id0,id0,,CELEB_COMPONENT_000,,train
CELEBDF_0000007,Celeb-DF v2,Celeb-real/id0_0007.mp4,0,479,942,500,FMP4,2.18,Original,None,id0,id0,,CELEB_COMPONENT_000,,train
CELEBDF_0000008,Celeb-DF v2,Celeb-real/id0_0008.mp4,0,464,942,500,FMP4,4.2,Original,None,id0,id0,,CELEB_COMPONENT_000,,train
CELEBDF_0000009,Celeb-DF v2,Celeb-real/id0_0009.mp4,0,520,942,500,FMP4,2.47,Original,None,id0,id0,,CELEB_COMPONENT_000,,train
CELEBDF_0000010,Celeb-DF v2,Celeb-real/id10_0000.mp4,0,239,658,500,FMP4,1.05,Original,None,id10,id10,,CELEB_COMPONENT_000,,train
CELEBDF_0000011,Celeb-DF v2,Celeb-real/id10_0001.mp4,0,145,948,500,FMP4,1.03,Original,None,id10,id10,,CELEB_COMPONENT_000,,train
CELEBDF_0000012,Celeb-DF v2,Celeb-real/id10_0002.mp4,0,322,956,500,FMP4,1.1,Original,None,id10,id10,,CELEB_COMPONENT_000,,train
CELEBDF_0000013,Celeb-DF v2,Celeb-real/id10_0003.mp4,0,351,956,500,FMP4,1.26,Original,None,id10,id10,,CELEB_COMPONENT_000,,train
CELEBDF_0000014,Celeb-DF v2,Celeb-real/id10_0004.mp4,0,517,962,500,FMP4,2.2,Original,None,id10,id10,,CELEB_COMPONENT_000,,train
CELEBDF_0000015,Celeb-DF v2,Celeb-real/id10_0005.mp4,0,318,956,500,FMP4,1.46,Original,None,id10,id10,,CELEB_COMPONENT_000,,train
CELEBDF_0000016,Celeb-DF v2,Celeb-real/id10_0006.mp4,0,172,612,500,FMP4,1.18,Original,None,id10,id10,,CELEB_COMPONENT_000,,train
CELEBDF_0000017,Celeb-DF v2,Celeb-real/id10_0007.mp4,0,502,956,500,FMP4,1.94,Original,None,id10,id10,,CELEB_COMPONENT_000,,train
