sample_id,dataset,video_path,label,frame_count,width,height,codec,file_size_mb,manipulation,generator,subject_id,source_id,original_video_id,split_group_id,audio_path,split,first_id
FFPP_0001000,FaceForensics++,Deepfakes/000_003.mp4,1,396,640,480,h264,0.85,Deepfakes,Deepfakes,,ORIG_003,ORIG_000,PAIR_ORIG_000_ORIG_003,,,0
FFPP_0001001,FaceForensics++,Deepfakes/001_870.mp4,1,460,1280,720,h264,2.74,Deepfakes,Deepfakes,,ORIG_870,ORIG_001,PAIR_ORIG_001_ORIG_870,,,1
FFPP_0001002,FaceForensics++,Deepfakes/002_006.mp4,1,693,1280,720,h264,1.98,Deepfakes,Deepfakes,,ORIG_006,ORIG_002,PAIR_ORIG_002_ORIG_006,,,2
FFPP_0001003,FaceForensics++,Deepfakes/003_000.mp4,1,303,640,480,h264,0.57,Deepfakes,Deepfakes,,ORIG_000,ORIG_003,PAIR_ORIG_000_ORIG_003,,,3
FFPP_0001004,FaceForensics++,Deepfakes/004_982.mp4,1,309,1280,720,h264,1.19,Deepfakes,Deepfakes,,ORIG_982,ORIG_004,PAIR_ORIG_004_ORIG_982,,,4
FFPP_0001005,FaceForensics++,Deepfakes/005_010.mp4,1,385,720,480,h264,1.5,Deepfakes,Deepfakes,,ORIG_010,ORIG_005,PAIR_ORIG_005_ORIG_010,,,5
FFPP_0001006,FaceForensics++,Deepfakes/006_002.mp4,1,310,1280,720,h264,0.84,Deepfakes,Deepfakes,,ORIG_002,ORIG_006,PAIR_ORIG_002_ORIG_006,,,6
FFPP_0001007,FaceForensics++,Deepfakes/007_132.mp4,1,505,600,480,h264,1.01,Deepfakes,Deepfakes,,ORIG_132,ORIG_007,PAIR_ORIG_007_ORIG_132,,,7
FFPP_0001008,FaceForensics++,Deepfakes/008_990.mp4,1,637,640,480,h264,0.98,Deepfakes,Deepfakes,,ORIG_990,ORIG_008,PAIR_ORIG_008_ORIG_990,,,8
FFPP_0001009,FaceForensics++,Deepfakes/009_027.mp4,1,588,640,480,h264,0.74,Deepfakes,Deepfakes,,ORIG_027,ORIG_009,PAIR_ORIG_009_ORIG_027,,,9
